source	target
SSU72	TMEM240
DCDC2B	EIF3I
DCDC2B	RP4-622L5.7
DCDC2B	TMEM234
EIF3I	RP4-622L5.7
EIF3I	TMEM234
RP4-622L5.7	TMEM234
RP4-622L5.7	6990
DCDC2B	6990
EIF3I	6990
TMEM234	6990
BTBD19	PTCH2
BTBD19	RNU5E-6P
PTCH2	RNU5E-6P
CENPL	DARS2
AQP10	ATP8B2
FAIM3	PIGR
FAIM3	51905
PIGR	51905
DTL	INTS7
ANXA11	LINC00857
BBIP1	SHOC2
ADIRF-AS1	MMRN2
ADIRF-AS1	SNCG
MMRN2	SNCG
CYP26C1	RP11-348J12.2
RNU6-43P	SUFU
SUFU	RNU6-43P
PHLDA2	SLC22A18
NUP98	PGAP2
HSPA8	CLMP
CLMP	HSPA8
CNOT2	RP11-611E13.2
RNU6-940P	WNT10B
RNU6-940P	WNT1
WNT10B	WNT1
C12orf80	KRT80
GLI1	INHBE
INHBE	158430
GLI1	158430
CNOT2	162561
RP11-611E13.2	162561
GALNT4	POC1B
GALNT4	POC1B-GALNT4
GALNT4	RP11-734K2.4
POC1B	POC1B-GALNT4
POC1B	RP11-734K2.4
POC1B-GALNT4	RP11-734K2.4
FAM216A	GPN3
MAP1LC3B2	RP11-809C9.2
DIS3	PIBF1
KIAA0391	PPP2R3C
RP11-486O13.2	SLC8A3
ALDH6A1	LIN52
DICER1-AS1	DICER1
AC068831.6	RCCD1
AC106782.20	BCL7C
AC106782.20	CTF1
AC106782.20	MIR762
BCL7C	CTF1
BCL7C	MIR762
CTF1	MIR762
CLUHP3	CTD-2358C21.4
CLUHP3	ZNF720
CTD-2358C21.4	ZNF720
ORC6	VPS35
DNAAF1	HSDL1
DNAAF1	277582
HSDL1	277582
GAS7	280754
ERAL1	FAM222B
ERAL1	RP11-20B24.3
FAM222B	RP11-20B24.3
ACLY	TTC25
MYO15B	RECQL5
MYO15B	SMIM5
RECQL5	SMIM5
AC139149.1	ACTG1
AC139149.1	RP13-766D20.1
AC139149.1	RP13-766D20.2
ACTG1	RP13-766D20.1
ACTG1	RP13-766D20.2
RP13-766D20.1	RP13-766D20.2
CCDC137	NPLOC4
CCDC137	OXLD1
CCDC137	PDE6G
CCDC137	TSPAN10
NPLOC4	OXLD1
NPLOC4	PDE6G
NPLOC4	TSPAN10
OXLD1	PDE6G
OXLD1	TSPAN10
PDE6G	TSPAN10
ACTG1	AC139149.1
RP13-766D20.2	AC139149.1
RP13-766D20.2	RP13-766D20.1
TSHZ1	ZADH2
AC005624.2	GADD45B
AC005624.2	LMNB2
GADD45B	LMNB2
CTD-2192J16.11	PGK1P2
CTD-2528A14.5	MYO9B
HCST	NFKBID
AKT2	CTC-425O23.2
AKT2	MIR641
CTC-425O23.2	MIR641
CTC-435M10.3	TGFB1
CTC-435M10.3	TMEM91
TGFB1	TMEM91
CTB-174O21.2	PRKD2
CTB-174O21.2	STRN4
PRKD2	STRN4
SAE1	ZC3H4
AC009336.1	HOXD10
AC009336.1	HOXD11
HOXD10	HOXD11
SLC4A1AP	SUPT7L
CEBPZ	NDUFAF7
ATL2	CEBPZ
ATL2	NDUFAF7
AC078883.3	ITGA6
CCDC140	PAX3
AL136531.1	SDCBP2
AL136531.1	403753
SDCBP2	403753
ADNP	AL034553.1
ADNP	RP5-914P20.5
AL034553.1	RP5-914P20.5
DBNDD2	TP53TG5
SNORD12C	ZFAS1
SNORD12C	ZNFX1
ZFAS1	ZNFX1
KRTAP12-3	KRTAP12-4
ITGB2-AS1	ITGB2
ITGB2-AS1	LL21NC02-1C16.1
ITGB2-AS1	LL21NC02-1C16.2
ITGB2	LL21NC02-1C16.1
ITGB2	LL21NC02-1C16.2
LL21NC02-1C16.1	LL21NC02-1C16.2
BX322557.10	POFUT2
ARVCF	TANGO2
ADORA2A-AS1	UPB1
UPB1	ADORA2A-AS1
CTA-984G1.5	EWSR1
CTA-984G1.5	RHBDD3
EWSR1	RHBDD3
CHKB-AS1	CHKB-CPT1B
CHKB-AS1	CHKB
CHKB-AS1	CPT1B
CHKB-AS1	CTA-384D8.33
CHKB-CPT1B	CHKB
CHKB-CPT1B	CPT1B
CHKB-CPT1B	CTA-384D8.33
CHKB	CPT1B
CHKB	CTA-384D8.33
CPT1B	CTA-384D8.33
ENTPD3-AS1	RPL14
AC144521.1	SATB1
AC144521.1	TBC1D5
SATB1	TBC1D5
ACAA1	MYD88
AMT	NICN1-AS1
GLYCTK	MIR135A1
GLYCTK	WDR82
MIR135A1	WDR82
RP11-81N13.1	SUCLG2
FOXP1	RP11-154H23.3
TIPARP-AS1	TIPARP
ZIC1	ZIC4
TIPARP-AS1	483816
TIPARP	483816
HTT-AS	HTT
ATP8A1	RP11-109E24.2
HERC3	PIGY
HERC3	PYURF
HERC3	RP11-466G12.2
PIGY	PYURF
PIGY	RP11-466G12.2
PYURF	RP11-466G12.2
EIF4E1B	MIR4281
EIF4E1B	SNCB
MIR4281	SNCB
CTC-338M12.4	GNB2L1
ZFP62	CTC-338M12.4
ZFP62	GNB2L1
CTC-338M12.4	SNORD95
CTC-338M12.4	SNORD96A
GNB2L1	SNORD95
GNB2L1	SNORD96A
SNORD95	SNORD96A
FOXF2	610694
LY86-AS1	LY86
FLOT1	IER3
FLOT1	XXbac-BPG252P9.10
IER3	XXbac-BPG252P9.10
HCP5	MICA
HCP5	XXbac-BPG181B23.7
MICA	XXbac-BPG181B23.7
MIR219-1	RING1
MIR219-1	ZNF70P1
RING1	ZNF70P1
KLC4	MRPL2
GSTA4	RN7SK
FAM229B	TUBE1
AC073957.15	C7orf50
SSBP1	WEE2-AS1
GIGYF1	GNB2
KMT2E-AS1	KMT2E
KMT2E-AS1	LINC01004
KMT2E	LINC01004
BCAP29	RP4-593H12.1
ASIC3	CDK5
ASIC3	SLC4A2
CDK5	SLC4A2
MIR320A	PHYHIP
MIR320A	POLR3D
PHYHIP	POLR3D
CTD-2544N14.3	HTRA4
CTD-2544N14.3	PLEKHA2
HTRA4	PLEKHA2
PLEKHA2	CTD-2544N14.3
PLEKHA2	HTRA4
LAPTM4B	RNU7-177P
RP13-467H17.1	TSNARE1
CDKN2A	CDKN2B-AS1
CDKN2A	CDKN2B
CDKN2A	RP11-149I2.4
CDKN2B-AS1	CDKN2B
CDKN2B-AS1	RP11-149I2.4
CDKN2B	RP11-149I2.4
GOLGA2	SWI5
