Regulator	Target	MI	pvalue
NRF1	TAF5	0.6565745583357822	7.943345314842531E-9
MAZ	YY1	0.6179785127643161	0.0078012199253365555
USF2	WDR59	0.6191682835914801	0.0078012199253365555
CEBPB	SEPHS2	0.5697953184041169	0.0078012199253365555
GTF3C2	SGTB	0.5957910509882343	0.0078012199253365555
FOS	FNDC8	0.6965888631836733	0.0078012199253365555
ATF1	ASTL	0.5669514037137456	0.0078012199253365555
ATF1	ASPN	0.6162156265973826	0.0078012199253365555
FOXP2	SRBD1	0.6587697525629059	2.899321039917524E-7
GATA3	IDH3G	0.610925072244694	0.0078012199253365555
ATF1	ATIC	0.6055034034700592	2.8813599141075397E-4
ATF1	ATG3	0.6762305470151221	0.0078012199253365555
ATF1	ATF3	0.6063167538979233	0.0078012199253365555
ATF1	ATE1	0.6241315591923173	0.0
CREBBP	HNRNPR	0.5752407959274686	0.0078012199253365555
STAT3	EI24	0.6109071035608729	0.0078012199253365555
CCNT2	PRR15L	0.6173695276321529	2.899321039917524E-7
BRF2	UCP2	0.6626403343201827	0.0
PPARGC1A	THUMPD1	0.6073550516110335	0.0078012199253365555
SPI1	ZNF407	0.6224798155177806	0.0078012199253365555
CBX8	ZFP37	0.6026095409784958	9.584562662201535E-6
EBF1	MS4A1	0.6303014328788391	7.943345314842531E-9
MAX	KCTD9	0.6018226653591832	0.0078012199253365555
NR3C1	NMI	0.6535354446449718	0.0078012199253365555
KAT2B	TRIM8	0.6055877108449442	0.0078012199253365555
GTF2B	SRP9	0.5690126208641183	0.0078012199253365555
NR3C1	HK2	0.6232202247170182	9.584562662201535E-6
BCLAF1	PSMD2	0.655128573745963	0.0078012199253365555
CREBBP	CAPZA2	0.6290927812127188	0.0078012199253365555
CEBPZ	EEF1D	0.6232357272041418	0.0078012199253365555
ELK4	PRKRA	0.5869230769833803	0.0078012199253365555
KDM1A	GRID2IP	0.655682806939331	0.0078012199253365555
PHF8	TSPAN3	0.6456915123566328	7.943345314842531E-9
FOXM1	STK11IP	0.5741894077660368	0.0078012199253365555
ZNF274	TNFSF12	0.6658109252463453	2.8813599141075397E-4
CREBBP	FBXO21	0.6376491655780442	0.0078012199253365555
GATA3	PDP2	0.5957937881365066	0.0078012199253365555
SMARCC2	SMCR8	0.6281748345067962	0.0078012199253365555
TAF1	FDXR	0.5809037037627193	0.0078012199253365555
ZKSCAN1	LENG9	0.5961971526750741	2.899321039917524E-7
PAX5	CCDC34	0.5754119555581604	0.0078012199253365555
GATA1	TRIM11	0.6377128548951398	0.0078012199253365555
SAP30	ARNT	0.5901069817943695	0.0078012199253365555
CREBBP	DUSP19	0.6620420000996072	0.0078012199253365555
ZZZ3	ZZEF1	0.6292430915758216	2.899321039917524E-7
NFIC	AP1S3	0.6448181702459215	2.8813599141075397E-4
CEBPZ	PPME1	0.6023541299394604	2.8813599141075397E-4
STAT3	SPON1	0.6118259590571046	0.0078012199253365555
ATF3	PGM3	0.6327465794278366	2.899321039917524E-7
NR3C1	BIK	0.6093985072850093	0.0078012199253365555
RELA	IMMT	0.5768880013709415	0.0078012199253365555
GATA1	NRXN3	0.6115111975427052	0.0078012199253365555
MAX	RASAL2	0.5763985487448255	2.8813599141075397E-4
RXRA	KIAA2013	0.565961744806147	2.8813599141075397E-4
CHD4	PLBD1	0.6006383453989625	2.8813599141075397E-4
MAZ	MAX	0.6193739937099563	0.0078012199253365555
KDM5B	KMO	0.5919886118921713	0.0078012199253365555
KDM5B	STAG3L3	0.6013817343165737	2.8813599141075397E-4
GATA3	PMCH	0.6177253287058361	2.8813599141075397E-4
SREBF1	APBB3	0.6230361777247672	0.0078012199253365555
GTF3C2	CLEC10A	0.5715684675991212	0.0078012199253365555
PRDM1	SGSH	0.6214098521907688	0.0078012199253365555
GATA1	CREM	0.6231830954301291	0.0078012199253365555
MYB	TMEM201	0.6440009338613434	0.0078012199253365555
KDM4A	UBFD1	0.58749923283607	2.8813599141075397E-4
NFE2	SDS	0.613376878219833	2.899321039917524E-7
CHD1	PIP5K1P1	0.5919199089294445	2.8813599141075397E-4
SUZ12	GPNMB	0.6042426532611387	0.0078012199253365555
ZMIZ1	HLA-L	0.563461931829376	0.0078012199253365555
RNF2	PIGY	0.6741930309238632	2.899321039917524E-7
GATA1	CLNK	0.6432452472470616	2.899321039917524E-7
CBX3	TMUB1	0.6093076068308557	0.0078012199253365555
ESRRA	TBC1D22B	0.6310902717780982	2.899321039917524E-7
RAD21	HCLS1	0.6372483978780658	0.0078012199253365555
CHD1	SCARNA16	0.6751480308686065	0.0078012199253365555
RELA	NDUFA11	0.6606858227934613	2.8813599141075397E-4
RBBP5	RAVER2	0.6101235420889974	0.0078012199253365555
USF2	UNC13D	0.6138258906982381	3.0551328134009736E-10
REST	VPS35	0.6134997287429111	9.584562662201535E-6
EGR1	PTPRK	0.6905839855192321	9.584562662201535E-6
POLR2A	TMEM132A	0.6091328542741317	9.584562662201535E-6
SRF	ERAL1	0.6049543701112555	0.0
SIX5	ANKRD36BP1	0.6120401569509111	2.899321039917524E-7
CBX3	GPN2	0.5779912927302274	0.0078012199253365555
PAX5	BCO2	0.5856458301780432	0.0078012199253365555
KDM5A	MAMSTR	0.6042531750858425	0.0078012199253365555
MTA3	C11orf45	0.596998658558957	7.943345314842531E-9
TBL1XR1	CDAN1	0.5566106424116574	0.0078012199253365555
