Regulator	Target	MI	pvalue
TBL1XR1	WBP1	0.6352784564937238	4.479621270192524E-5
POLR3A	SNAR-A2	0.7298398193845784	3.6340643738697054E-6
POLR3A	SNAR-A3	0.7667025293118949	3.6340643738697054E-6
POLR3A	SNAR-A4	0.7458856125158699	3.6340643738697054E-6
POLR3A	SNAR-B2	0.7789175471621284	2.7759930887327755E-7
POLR3A	SNAR-C2	0.7772408594274159	0.0
POLR3A	SNAR-C3	0.7648898104405082	1.9974105924802643E-8
POLR3A	SNAR-C4	0.7643980168886098	1.9974105924802643E-8
POLR3A	SNAR-G1	0.7708875506166889	1.222904444375672E-9
GTF3C2	SNORD50B	0.7402661292483458	4.479621270192524E-5
POLR3A	SNAR-G2	0.75074648906874	1.9974105924802643E-8
BRCA1	RAD51AP2	0.7306551030058419	1.222904444375672E-9
HNF4G	DIO3OS	1.0197026618598053	0.0
GTF3C2	SNORD32A	0.7219525292123599	5.180251760812382E-4
CCNT2	ZBTB38	0.6483822521080873	2.7759930887327755E-7
IRF4	CLIC5	0.6633182863627165	1.222904444375672E-9
CCNT2	ZBTB10	0.7003574054308602	4.479621270192524E-5
CCNT2	ZBTB17	0.6570036919975402	1.9974105924802643E-8
KDM5B	SPIN2A	0.6325153760147414	3.6340643738697054E-6
CTCF	FAM41AY1	0.710785978401574	2.7759930887327755E-7
POLR3A	FAM41AY1	0.7507172479230351	1.222904444375672E-9
ZEB1	DPPA5	0.890329163636353	0.0
IRF3	LPCAT4	0.6597369515401649	0.005595888854653452
SMARCC1	MASP1	0.6330360987304123	0.005595888854653452
SIN3A	TOP3A	1.2375052598496141	0.0
SIN3A	CACNG2	1.2903847744558143	0.0
SIN3A	CACNG3	1.1664373496977527	0.0
SIN3A	CACNG5	1.2088226898808663	0.0
SIN3A	CACNG7	1.218713817280957	0.0
HMGN3	ZNF780A	0.6584262459579667	0.005595888854653452
USF2	WDR54	0.6408009450529196	0.0
GATA1	BPGM	0.6740343959464518	0.0
USF2	WDR20	0.708391452130566	0.005595888854653452
USF2	WDR26	0.6975100161877221	0.0
MAFK	IL16	0.6301387065841176	0.005595888854653452
REST	MBD3L5	1.236173861017473	0.0
NFYB	KIAA1731	0.7017943924103874	0.0
TAF7	MECR	0.6981606468757023	0.0
GTF3C2	SGTB	0.7213099570717935	0.005595888854653452
SIN3A	MMP23B	0.6416079246021228	1.9974105924802643E-8
NFYB	KIAA1704	0.6394488297428151	0.0
CTCF	SOX30	0.7685008428889132	4.479621270192524E-5
SUZ12	DCAF16	0.6672594117189552	4.479621270192524E-5
POLR3A	HEATR1	0.6991915243029873	0.0
MBD4	AKAP4	0.9215243891252947	0.0
USF2	C8orf31	0.6498555312437829	3.6340643738697054E-6
USF2	C8orf56	0.5936833468656595	5.180251760812382E-4
REST	BCMO1	0.8025664770153814	1.9974105924802643E-8
MYOG	LACRT	0.8284596181152428	0.0
TFAP2C	XRN1	0.6199377462917628	0.0
BCL3	FAM53C	0.6337998394324829	0.005595888854653452
HNF4G	PBOV1	0.9984313124016542	0.0
POLR3A	LOC256880	0.7266206274852063	1.9974105924802643E-8
XRCC4	TUBB3	0.6547234690452984	0.0
HNF4G	KRTAP10-10	0.9317957185503472	3.6340643738697054E-6
HNF4G	KRTAP10-11	0.9521536419275666	0.0
HNF4G	KRTAP10-12	0.9305810591853289	0.0
MYOG	TBXAS1	0.8330205028006809	0.0
SP1	IL23R	0.6242789638277384	5.180251760812382E-4
CTCF	SOX11	0.7966634476797726	0.0
CTCF	SOX17	0.7212573563064432	0.005595888854653452
KDM4A	TAS1R2	0.6635107076807414	5.180251760812382E-4
MXI1	TMEM41B	0.6791525387176017	1.222904444375672E-9
RBBP5	TCP11L1	0.6681093302755002	0.0
BCLAF1	PTCD2	0.6625002084906249	5.180251760812382E-4
ARID3A	CUL5	0.735763584475927	3.6340643738697054E-6
ZNF274	UTP3	0.6077759310319707	5.180251760812382E-4
TFAP2C	EIF2B1	0.6402108175537023	4.479621270192524E-5
TCF3	SH3GL3	1.050717523570334	0.0
ESRRA	TPD52L3	0.6434873880977854	5.180251760812382E-4
MYOD1	AGBL1	1.3757691008366604	0.0
TAF1	KIAA1984	0.6941632593664506	0.005595888854653452
SPI1	SLC17A3	0.9587121426866191	0.0
SPI1	SLC17A5	1.2789429854512386	0.0
SPI1	SLC17A7	1.3315795404102866	0.0
SPI1	SLC17A9	0.8031696017023371	0.0
TAF1	KIAA1967	0.6907607420427861	0.0
GATA3	FAM113B	0.7961412216166767	0.0
SP1	IL2RG	0.7303320108080955	0.0
MYOG	TBXA2R	0.7994602336952636	0.0
ZNF274	USP3	0.6522945435328242	2.7759930887327755E-7
ZNF274	USP5	0.7013620110293189	0.0
H2AFZ	FANCA	0.6563100317705478	0.0
H2AFZ	FANCB	0.641518226979369	5.180251760812382E-4
H2AFZ	FANCG	0.6767698295560771	0.0
MBD4	POM121L1P	1.8407939574452157	0.0
GTF3C2	LOC100169752	0.7247801875091052	0.005595888854653452
POLR2A	TTC22	0.6402095035825482	1.222904444375672E-9
SPI1	C20orf20	1.073649284675226	4.479621270192524E-5
MBD4	POM121L9P	0.9341870856866187	0.0
SMARCC1	MAP1A	0.6945841625219157	4.479621270192524E-5
MBD4	POM121L8P	0.7317333656028687	3.6340643738697054E-6
MBD4	POM121L4P	0.6955737129470089	0.0
FOXA2	MGC4473	1.5549241935383	0.0
CBX3	LRRC36	0.6565564786236793	5.180251760812382E-4
CBX3	LRRC41	0.6683965728686199	2.7759930887327755E-7
MEF2A	LRRFIP1	0.6549456118544684	0.0
ZEB1	LOC100302401	0.8440242525064366	0.0
CTCF	LOC255167	0.6896995807087183	3.6340643738697054E-6
SPI1	C20orf79	1.2879037952654653	0.0
SPI1	C20orf85	1.303962340704426	0.0
HMGN3	CEP170L	0.6528751787418591	5.180251760812382E-4
SPI1	C20orf94	1.3453064903802934	0.0
SPI1	C20orf70	1.346280032293361	0.0
SPI1	C20orf72	1.230720113425476	0.0
KDM5B	SET	0.6683844627818846	0.0
NFYA	SFXN4	0.6365559363650503	4.479621270192524E-5
NFYA	CALML5	0.592407206528019	0.005595888854653452
MBD4	LOC399959	1.3968520087841378	0.0
GTF3C2	SNORD102	0.7527933221874007	0.005595888854653452
GTF3C2	SNORD124	0.7101389369895219	4.479621270192524E-5
GTF3C2	SNORD125	0.7236811491364439	4.479621270192524E-5
GTF3C2	SCAP	0.679036321629801	0.0
BCL11A	NAT15	0.626720998308728	0.0
ZKSCAN1	TTTY10	0.8473157165870044	3.6340643738697054E-6
ZKSCAN1	TTTY13	0.7652650988955694	0.0
ZKSCAN1	TTTY14	0.8806693435877921	0.0
ZKSCAN1	TTTY15	0.8373721909822588	0.0
ZKSCAN1	TTTY16	0.8303164163625532	0.0
ZKSCAN1	TTTY18	0.8458053999296646	0.0
ZKSCAN1	TTTY19	0.8561530645347564	0.0
ZKSCAN1	TTTY1B	0.8177475168782234	0.0
ZKSCAN1	TTTY20	0.8287755755892218	0.0
ZKSCAN1	TTTY21	0.8366156059082036	0.0
ZKSCAN1	TTTY22	0.8399589235974566	0.0
ZKSCAN1	TTTY23	0.8563535410566533	0.0
SPI1	SLC19A1	1.2785222295126937	0.0
ELF1	GABPA	0.6304502545365086	2.7759930887327755E-7
GTF3C2	SNORD19B	0.710522722414718	0.005595888854653452
ZKSCAN1	TTTY3B	0.8238814724664034	0.0
ZKSCAN1	TTTY4C	0.8334851434055482	0.0
KAT2A	XPO7	0.6959158265313989	0.0
ZKSCAN1	TTTY6B	0.8402110462265199	0.0
GATA3	SKAP2	0.812736269271281	0.0
ZKSCAN1	TTTY9B	0.8649847219125876	0.0
MXI1	TMEM117	0.6670731228590367	0.0
SIX5	LOC126536	0.64488643414909	0.005595888854653452
MYOG	PRAME	0.7570942084965291	0.0
ZC3H11A	CWC22	0.6391102541519837	3.6340643738697054E-6
CTCF	COX6A2	0.734487820284344	4.479621270192524E-5
MYOD1	SLED1	1.1347426121780113	0.0
FOXA2	CSDAP1	1.5834380320143184	0.0
POLR3A	IGFL1	0.7387181397503824	2.7759930887327755E-7
MYOD1	SLC30A9	0.9215611600536163	0.0
MYOG	SPANXA2	0.787510887806227	0.0
MYOG	SPANXB2	0.776644673948424	0.0
SPI1	LACRT	1.2830672043042626	0.0
ATF2	AKAP12	0.6039227916479669	0.005595888854653452
MYOG	SPANXN1	0.7675836908806529	0.0
MYOG	SPANXN2	0.7650074862764651	0.0
MYOG	SPANXN3	0.785844368923677	0.0
MYOG	SPANXN5	0.8961450582095316	5.180251760812382E-4
GTF3C2	SRRT	0.7332188989163817	1.222904444375672E-9
NR2F2	WFDC3	0.6849560820896653	3.6340643738697054E-6
FOXM1	VCL	0.6579826784015013	0.0
FOXA2	APOBEC2	1.3322518483669297	0.0
POLR2A	TTLL9	0.6516022367220702	5.180251760812382E-4
ZKSCAN1	C22orf13	0.8318291175281439	0.0
ARID3A	CHD9	0.6649633455556896	1.222904444375672E-9
ZKSCAN1	C22orf34	0.8649791209502333	0.0
MYOG	STEAP1	0.7700728852309374	0.0
MYOG	STEAP3	0.9058554438338593	0.0
SPI1	SLC13A2	1.3130018747106107	0.0
SPI1	SLC13A3	1.3194901145695739	0.0
NFYA	KRTAP10-11	0.6163091546086679	5.180251760812382E-4
GTF3C2	SQLE	0.7256662895048783	1.222904444375672E-9
MYBL2	TCFL5	0.6996237353612038	1.9974105924802643E-8
KAT2B	SEPT7P2	0.6437227325970384	0.005595888854653452
CBX3	ZSCAN10	0.6441401463994963	4.479621270192524E-5
CEBPB	FCGR3A	0.6646814247257669	3.6340643738697054E-6
MYOG	PRDM6	0.7710409787703649	1.9974105924802643E-8
MYOG	PRDM9	0.785062453474213	0.0
SPI1	IFLTD1	1.1886524697495253	0.0
HNF4G	TSSK4	1.0558720607022616	0.0
HNF4G	TSSK6	1.0357486533260039	0.0
SIN3A	C22orf13	1.2561821770687431	0.0
SIN3A	C22orf34	1.2150352412809886	0.0
SIN3A	C22orf43	0.7769242280383671	0.0
MYBL2	TCF19	0.6504402515256086	1.9974105924802643E-8
SREBF1	PRICKLE4	0.6223136739404392	4.479621270192524E-5
FOXM1	SHD	0.7451179125566393	0.0
HCFC1	ZBTB22	0.7067135220124996	4.479621270192524E-5
GTF3C2	SOX3	0.7059780659277782	5.180251760812382E-4
ZKSCAN1	QRICH1	0.8289129336969223	4.479621270192524E-5
BCLAF1	SFRS13A	0.6286566910855359	3.6340643738697054E-6
SPI1	KCNQ1OT1	1.3701782746394806	0.0
SPI1	SLC15A2	1.228313907804726	0.0
MYOG	LALBA	0.7864168186261804	5.180251760812382E-4
GTF3C2	SNORD88A	0.7422064861928959	4.479621270192524E-5
FOXA2	NAA11	1.3554649736680149	0.0
NR2F2	UGT1A8	0.6928499660221304	5.180251760812382E-4
SIN3A	KLRA1	1.2666623178401921	0.0
RBBP5	NAA15	0.73988726978586	0.005595888854653452
YY1	RAB6A	0.6708661735446951	5.180251760812382E-4
MYOD1	SLC34A1	0.7146343333953787	3.6340643738697054E-6
MYOD1	TPRG1L	1.4190215164199291	0.0
MYBL2	SAMD4A	0.9888556270243114	0.0
TAF1	WDR26	0.6923045806268219	2.7759930887327755E-7
MYOG	LAMA1	0.7738306162768644	0.0
SPI1	PRAME	1.3138167120118989	0.0
HNF4A	LOC158376	0.7503987652306986	0.0
MYOG	LAMC2	0.7678280630580435	0.0
MYOD1	COL6A4P2	0.8048076677232783	0.0
GTF3C2	SNCG	0.7261553880459966	0.0
SPI1	KCNA10	0.9521206246765417	0.0
TAF7	PAFAH1B3	0.6779833692299074	4.479621270192524E-5
MYOD1	SLC35F2	0.885673077795443	0.0
SIX5	LOC401588	0.8034955192847953	5.180251760812382E-4
HNF4G	TSPY4	1.0355973243291359	0.0
MYOD1	C15orf21	1.5250233512898148	0.0
MYOD1	C15orf32	1.5101931786687173	0.0
MYOD1	C15orf34	0.7060558635487917	0.005595888854653452
MYOD1	C15orf38	0.7546644073631465	0.0
MYOD1	C15orf43	1.4707833640560048	0.0
MYOD1	C15orf50	1.543874714376	0.0
MYOD1	C15orf51	1.5141782510344013	0.0
MYOD1	C15orf55	0.7274183024844443	5.180251760812382E-4
UBTF	PI4K2A	0.6107336893891838	5.180251760812382E-4
HNF4G	ARHGEF10L	1.0617491340408842	0.0
KAT2A	AWAT2	0.6291824907246553	2.7759930887327755E-7
ATF2	FAM48A	0.6858692689103757	1.9974105924802643E-8
ELF1	TTC32	0.6527233930684867	3.6340643738697054E-6
MBD4	SPRY1	1.5829367284682898	0.0
MBD4	SPRY2	1.796074098028624	0.0
ZKSCAN1	FOXA2	0.8267199534205721	0.0
ZKSCAN1	FOXB2	0.8132440940331372	0.0
MYOD1	SLC36A3	0.8026847908021502	5.180251760812382E-4
ZKSCAN1	FOXG1	0.8364199858672811	2.7759930887327755E-7
MBD4	SPSB1	1.6592690233293028	0.0
ZKSCAN1	FOXD4	0.7252838628389843	3.6340643738697054E-6
GTF3C2	SLPI	0.7372028813936171	5.180251760812382E-4
ZKSCAN1	DUSP22	0.8102207518249309	0.0
ZKSCAN1	FOXE3	0.6508144097501687	4.479621270192524E-5
HNF4G	GAGE12F	1.0153939187854977	0.0
HNF4G	GAGE12J	1.0279668142528235	0.0
ZKSCAN1	FOXI2	0.7916942522381283	0.005595888854653452
ZKSCAN1	FOXI3	0.9108421421903238	0.0
