"","source","target","Annotation","Direction","Score"
"1","A2M","APOA1","inhibit","-|",1
"2","A2M","APP","predicted","-",0.64
"3","A2M","BMP1","inhibit","-|",1
"4","A2M","CDC42","catalyze","->",1
"5","A2M","KLKB1","complex; input","-",1
"6","A2M","MMP1","complex; input","-",1
"7","A2M","MMP13","complex; input","-",1
"8","A2M","MMP2","predicted","-",0.58
"9","A2M","MMP3","complex; input","-",1
"10","A2M","NFKB1","expression regulated by","<-",1
"11","A2M","PROC","PPrel: inhibition","-|",1
"12","A2M","RAC1","catalyze","->",1
"13","A2M","RAC2","catalyze","->",1
"14","A2M","RAC3","catalyze","->",1
"15","A2M","RELA","expression regulated by","<-",1
"16","A2M","RHOA","catalyze","->",1
"17","A2M","RHOB","catalyze","->",1
"18","A2M","RHOBTB1","catalyze","->",1
"19","A2M","RHOBTB2","catalyze","->",1
"20","A2M","RHOC","catalyze","->",1
"21","A2M","RHOD","catalyze","->",1
"22","A2M","RHOF","catalyze","->",1
"23","A2M","RHOG","catalyze","->",1
"24","A2M","RHOH","catalyze","->",1
"25","A2M","RHOJ","catalyze","->",1
"26","A2M","RHOQ","catalyze","->",1
"27","A2M","RHOT1","catalyze","->",1
"28","A2M","RHOT2","catalyze","->",1
"29","A2M","RHOU","catalyze","->",1
"30","A2M","RHOV","catalyze","->",1
"31","A2M","SERPING1","predicted","-",0.98
"32","A2M","STAT1","expression regulated by","<-",1
"33","A2M","STAT3","expression regulated by","<-",1
"34","AAAS","CPSF1","activate","->",1
"35","AAK1","AMPH","complex; input","-",1
"36","AATF","RELA","predicted","-",0.64
"37","ABCC3","ALB","catalyze","->",1
"38","ABHD4","PLIN1","predicted","-",0.54
"39","ABHD5","PLIN1","complex","-",1
"40","ABI1","USP6NL","input","-",1
"41","ABL1","BCL2L1","predicted","-",0.64
"42","ABL1","MAPK11","complex; input","-",1
"43","ABL1","MYC","PPrel: indirect effect; reaction","-",1
"44","ABL1","SEMA7A","predicted","-",0.64
"45","ABLIM1","DCC","complex; input","-",1
"46","ABLIM2","DCC","complex; input","-",1
"47","ABLIM3","DCC","complex; input","-",1
"48","ACAN","MMP20","predicted","-",0.64
"49","ACTA1","ACTC1","predicted","-",0.92
"50","ACTA1","ACTG2","predicted","-",0.92
"51","ACTA1","ACTN1","complex; input","-",1
"52","ACTA1","ACTN3","complex","-",1
"53","ACTA1","ADAM17","catalyzed by","<-",1
"54","ACTA1","AKT1","predicted","-",0.64
"55","ACTA1","AP2A1","complex; input","-",1
"56","ACTA1","AP2A2","complex; input","-",1
"57","ACTA1","CASP3","activated by","<-",1
"58","ACTA1","CDC42","activated by","<-",1
"59","ACTA1","CDH1","complex","-",1
"60","ACTA1","CDH3","complex","-",1
"61","ACTA1","CFL1","activated by","<-",1
"62","ACTA1","CKM","predicted","-",0.59
"63","ACTA1","CLTA","complex; input","-",1
"64","ACTA1","CLTB","complex; input","-",1
"65","ACTA1","CTCF","expression regulated by","<-",1
"66","ACTA1","CTNNA1","complex","-",1
"67","ACTA1","CTNNA2","complex","-",1
"68","ACTA1","CTNNB1","complex","-",1
"69","ACTA1","DIAPH1","activated by","<-",1
"70","ACTA1","EGR1","expression regulated by","<-",1
"71","ACTA1","EPS8","predicted","-",0.77
"72","ACTA1","ERBB3","predicted","-",0.64
"73","ACTA1","GSN","activated by","<-",1
"74","ACTA1","HIF1A","predicted","-",0.64
"75","ACTA1","HIP1","complex; input","-",1
"76","ACTA1","HTT","catalyzed by; complex; input","<-",1
"77","ACTA1","IFT57","complex; input","-",1
"78","ACTA1","JUP","complex","-",1
"79","ACTA1","MB","predicted","-",0.59
"80","ACTA1","MMP1","catalyzed by","<-",1
"81","ACTA1","MMP12","catalyzed by","<-",1
"82","ACTA1","MMP13","catalyzed by","<-",1
"83","ACTA1","MMP14","catalyzed by","<-",1
"84","ACTA1","MMP15","catalyzed by","<-",1
"85","ACTA1","MMP16","catalyzed by","<-",1
"86","ACTA1","MMP19","catalyzed by","<-",1
"87","ACTA1","MMP2","catalyzed by","<-",1
"88","ACTA1","MMP20","catalyzed by","<-",1
"89","ACTA1","MMP21","catalyzed by","<-",1
"90","ACTA1","MMP23B","catalyzed by","<-",1
"91","ACTA1","MMP24","catalyzed by","<-",1
"92","ACTA1","MMP25","catalyzed by","<-",1
"93","ACTA1","MMP27","catalyzed by","<-",1
"94","ACTA1","MMP28","catalyzed by","<-",1
