gene	2620771_BL	2430935_BL	2295595_BL	2264225_BL	1794247_BL	2296723_BL	2502699_BL
A1BG	-1.06859378527953	1.08901900164856	1.54885912040557	-1.9351886952427	0.361236688760593	2.39476486627664	1.52597577153267
A1CF	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
A2BP1	-7.44261015154673	-3.67009492681774	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
A2LD1	-5.88141597721117	-1.78766736370729	-2.65138856373038	-2.24900043776815	-7.70204511140621	-3.0663455094702	-3.52152118410731
A2ML1	3.93470116176555	3.18672391908994	4.19499864150348	3.05083101233456	2.79659500451626	3.67326114048648	3.60749955705081
A2M	-3.77518571422734	-2.13569955661832	-7.51640380130784	-1.99272648402087	-7.70204511140621	-4.00225278766789	-3.17596382868279
A4GALT	-4.66588705542283	-4.2182622673131	5.26566705358293	-1.26937758096703	3.45829939624955	1.75155000832619	4.46898390043091
A4GNT	-4.30446407390514	-5.92355303208952	-7.51640380130784	-7.4048477747528	-7.70204511140621	-2.70303780901274	-7.7661025943389
AAA1	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AAAS	6.27114673364071	5.47831079473838	7.08884597558566	6.8876939154009	5.66556670136088	6.64621482268213	6.77461396080376
AACSL	2.34021120396396	3.02668201664726	3.69972195168832	2.99457331345211	2.9080758747812	4.33049480171065	2.68936011237491
AACS	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL2	-7.44261015154673	-7.94476479104274	-7.51640380130784	-4.4175114750813	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL3	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADACL4	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
AADAC	-7.44261015154673	-7.94476479104274	-7.51640380130784	-7.4048477747528	-7.70204511140621	-7.52664253553674	-7.7661025943389
