,"name","abbreviation","description","formula","subsystem","effect"
"1","CYSB0AT3tc","CYSB0AT3tc","Cysteine Transport by B0At3","cl_e + cys__L_e + na1_e → cl_c + cys__L_c + na1_c","Transport, extracellular",3.983802
"2","ALAB0AT3tc","ALAB0AT3tc","Alanine Transport by B0At3","ala__L_e + cl_e + na1_e → ala__L_c + cl_c + na1_c","Transport, extracellular",3.737298
"3","SERB0AT3tc","SERB0AT3tc","Serine Transport by B0At3","cl_e + na1_e + ser__L_e → cl_c + na1_c + ser__L_c","Transport, extracellular",3.737298
"4","ASNB0AT3tc","ASNB0AT3tc","Asparagine Transport by B0At3","asn__L_e + cl_e + na1_e → asn__L_c + cl_c + na1_c","Transport, extracellular",3.684953
"5","EX_HC02161.e.","EX_HC02161_e","Exchange of GM1-pool","HC02161_e ⇌ ","Extracellular exchange",3.502722
"6","r1411","r1411","D-Galactosyl-N-acetyl-D-galactosaminyl-(N-acetylneuraminyl)-D- galactosyl-D-glucosylceramide galactohydrolase EC:3.2.1.23","h2o_e + HC02161_e → gal_e + HC02160_e","Miscellaneous",3.502722
"7","EX_Nacasp.e.","EX_Nacasp_e","Exchange of N-Acetyl-L-Aspartate","Nacasp_e ⇌ ","Extracellular exchange",3.433912
"8","NACASPt","NACASPt","Transport of N-Acetyl-L-Aspartate","3.0 na1_c + Nacasp_c ⇌ 3.0 na1_e + Nacasp_e","Transport, extracellular",3.433912
"9","GLUB0AT3tc","GLUB0AT3tc","Glutamate Transport by B0At3","cl_e + glu__L_e + na1_e → cl_c + glu__L_c + na1_c","Transport, extracellular",3.209916
"10","GLNB0AT3tc","GLNB0AT3tc","Glutamine Transport by B0At3","cl_e + gln__L_e + na1_e → cl_c + gln__L_c + na1_c","Transport, extracellular",3.185068
"11","ILEB0AT3tc","ILEB0AT3tc","Iso-Leucine Transport by B0At3","cl_e + ile__L_e + na1_e → cl_c + ile__L_c + na1_c","Transport, extracellular",3.185068
"12","LEUB0AT3tc","LEUB0AT3tc","Leucine Transport by B0At3","cl_e + leu__L_e + na1_e → cl_c + leu__L_c + na1_c","Transport, extracellular",3.185068
"13","METB0AT3tc","METB0AT3tc","Methionine Transport by B0At3","cl_e + met__L_e + na1_e → cl_c + met__L_c + na1_c","Transport, extracellular",3.185068
"14","VALB0AT3tc","VALB0AT3tc","Valine Transport by B0At3","cl_e + na1_e + val__L_e → cl_c + na1_c + val__L_c","Transport, extracellular",3.185068
"15","RE2644C","RE2644C","Aspartoacylase","h2o_c + CE1556_c ⇌ ac_c + asn__L_c","Urea cycle",3.170209
"16","CE1556td","CE1556td","Transport of N-Acetyl-L-Asparagine","CE1556_c ⇌ CE1556_e","Transport, extracellular",3.170209
"17","EX_CE1557.e.","EX_CE1557_e","Exchange of N-Acetyl-L-Asparagine","CE1556[e] <=> ","Extracellular exchange",3.170209
"18","PHEB0AT3tc","PHEB0AT3tc","Phenylalanine Transport by B0At3","cl_e + na1_e + phe__L_e → cl_c + na1_c + phe__L_c","Transport, extracellular",3.133467
"19","TRPB0AT3tc","TRPB0AT3tc","Tyrptophan Transport by B0At3","cl_e + na1_e + trp__L_e → cl_c + na1_c + trp__L_c","Transport, extracellular",3.133467
"20","TYRB0AT3tc","TYRB0AT3tc","Tyrosine Transport by B0At3","cl_e + na1_e + tyr__L_e → cl_c + na1_c + tyr__L_c","Transport, extracellular",3.133467
"21","r1549","r1549","Amino Acid-Polyamine-Organocation (APC) TCDB:2.A.3.8.1","tyr__L_c + gly_e ⇌ gly_c + tyr__L_e","Transport, extracellular",2.901313
"22","PROIMINOtc","PROIMINOtc","Transport of L-Proline by the apical IMINO amino acid transporters in kidney and intestine","cl_e + 2.0 na1_e + pro__L_e → cl_c + 2.0 na1_c + pro__L_c","Transport, extracellular",2.822362
"23","EX_arachd.e.","EX_arachd_e","NC20:4 exchange","arachd_e ⇌ ","Extracellular exchange",2.740704
