,"name","abbreviation","description","formula","subsystem","effect"
1,"EX_7klitchol.e.","EX_7klitchol_e","Exchange of 7-Ketolithocholate","7klitchol_e ⇌ ","Extracellular exchange",3.749809
2,"EX_Lcystin.e.","EX_Lcystin_e","Exchange of L-Cystine ","Lcystin[e] <=> ","Extracellular exchange",3.635241
3,"CYSTSERex","CYSTSERex","L-cystine/glycine exchanger (cystine in)","ser__L_c + cysi__L_e → ser__L_e + cysi__L_c","Transport, extracellular",3.630827
4,"r0835","r0835","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","so4_m + HC00319_c ⇌ so4_c + HC00319_m","Transport, mitochondrial",3.601792
5,"r0836","r0836","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","so3_m + HC00319_c ⇌ so3_c + HC00319_m","Transport, mitochondrial",3.601792
6,"r0821","r0821","Mitochondrial Carrier (Mc) Tcdb:2.A.29.2.2","fum[c] + succ[m] <=> fum[m] + succ[c] ","Transport, mitochondrial",3.601741
7,"r0829","r0829","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","succ_c + so4_m ⇌ so4_c + succ_m","Transport, mitochondrial",3.601741
8,"r0830","r0830","Mitochondrial Carrier (MC) TCDB:2.A.29.2.2","succ_c + so3_m ⇌ so3_c + succ_m","Transport, mitochondrial",3.601741
9,"CYSTALArBATtc","CYSTALArBATtc","Transport of L-Cystine into the cell in exchange for L-Alanine by b0,+AT transporter at the apical surfaces of the membranes of small intestine and renal cells.","ala__L_c + cysi__L_e → ala__L_e + cysi__L_c","Transport, extracellular",3.59203
10,"FUMSO3tm","FUMSO3tm","Fumarate:sulfite antiport, mitochondrial","fum_c + so3_m ⇌ so3_c + fum_m","Transport, mitochondrial",3.476717
11,"FUMSO4tm","FUMSO4tm","Fumarate:sulfate antiport, mitochondrial","fum_c + so4_m ⇌ so4_c + fum_m","Transport, mitochondrial",3.476717
12,"CYSTLEUrBATtc","CYSTLEUrBATtc","Transport of L-Cystine into the cell in exchange for L-Leucine by b0,+AT transporter at the apical surfaces of the membranes of small intestine and renal cells.","leu__L_c + cysi__L_e → leu__L_e + cysi__L_c","Transport, extracellular",3.396096
13,"12DHCHOLt","12DHCHOLt","12-Dehydrocholic acid transport via bicarbonate countertransport","hco3_c + 12dhchol_e ⇌ hco3_e + 12dhchol_c","Transport, extracellular",3.29017
14,"12DHCHOLt2","12DHCHOLt2","12-Dehydrocholic acid transport via sodium cotransport","2.0 na1_e + 12dhchol_e → 2.0 na1_c + 12dhchol_c","Transport, extracellular",3.29017
15,"3DHCDCHOLt","3DHCDCHOLt","3-Dehydrochenodeoxycholic acid transport via bicarbonate countertransport","hco3_c + 3dhcdchol_e ⇌ hco3_e + 3dhcdchol_c","Transport, extracellular",3.29017
