TF	size	nes	pval	pval.fdr
ARNTL2	7	3.28504446957996	0.00101966276816464	0.442564361459508
MXD3	13	-3.24566834206888	0.00117175262868809	0.442564361459508
BAZ2A	16	3.17516682073209	0.00149750383020922	0.442564361459508
SKI	5	-3.08137915410322	0.00206044094765614	0.442564361459508
ZNF154	6	2.96340363665219	0.00304257309625024	0.442564361459508
NR4A1	16	-2.96326769483895	0.00304391723902783	0.442564361459508
ESR2	10	-2.96030324675045	0.00307336362124659	0.442564361459508
ZHX1	7	2.86779453318819	0.00413343871009916	0.520813277472494
ZNF611	4	2.81590366776458	0.00486402489191253	0.544770787894203
ZNF227	7	-2.78064375395484	0.00542512344200342	0.546852442953945
ZNF749	4	2.61530377180728	0.00891481298894237	0.816921044804901
TEAD2	4	2.50634161220001	0.0121987697764745	0.824179104747168
ZBTB2	7	2.47886558962481	0.0131800963043923	0.824179104747168
FOXM1	12	-2.47770348179032	0.0132230985591523	0.824179104747168
CREM	8	2.42739099528794	0.0152078561192734	0.824179104747168
FOXO1	5	2.41920877772198	0.0155543099475037	0.824179104747168
HNF1A	6	2.40952154161741	0.0159734530521173	0.824179104747168
FOXI1	9	2.38325490873127	0.0171603070854621	0.824179104747168
BBX	7	2.36738834619085	0.0179141244465828	0.824179104747168
ZNF835	9	2.33775839186378	0.019399785168648	0.824179104747168
ZNF524	5	2.32173767113316	0.0202470652051488	0.824179104747168
NFATC2	8	2.30380175805315	0.0212337744007046	0.824179104747168
ZNF565	5	2.29651263628449	0.02164658749211	0.824179104747168
AR	4	2.29456446899508	0.0217580964644676	0.824179104747168
ZNF385D	8	2.29143727976617	0.0219381355100917	0.824179104747168
ZNF71	5	2.27987529877392	0.0226150854547655	0.824179104747168
SMAD5	12	2.27509221926978	0.0229003983248718	0.824179104747168
ZBTB22	6	2.24222122201693	0.0249470782258312	0.824179104747168
ZNF598	14	2.23086477722501	0.0256900875125507	0.824179104747168
ZNF614	8	2.21991969305143	0.0264242194587199	0.824179104747168
ZNF670	4	2.18896238641999	0.0285995739877325	0.824179104747168
MBD2	8	2.17199821602975	0.02985579747757	0.824179104747168
ZNF562	7	-2.16844583813587	0.0301247813064497	0.824179104747168
ZGPAT	4	-2.15522814659006	0.0311439853757413	0.824179104747168
TGIF1	6	2.14655592875623	0.0318286516814582	0.824179104747168
HOXA1	5	2.14384465055197	0.0320453363321531	0.824179104747168
FOXP2	4	2.13407625517771	0.0328365392306091	0.824179104747168
NR1H3	12	2.13237791972863	0.0329757910679848	0.824179104747168
ZNF69	13	2.11913078300171	0.0340794158605534	0.824179104747168
SPI1	6	2.11001779318766	0.0348568232907869	0.824179104747168
HSF4	7	2.10897930080623	0.0349463683586111	0.824179104747168
ZNF517	7	2.10839055672114	0.0349972206016017	0.824179104747168
EPAS1	15	-2.10652891640726	0.0351584340318733	0.824179104747168
ZSCAN22	6	2.07492154325543	0.0379938067252112	0.870403572250292
MYT1	7	2.04225839957356	0.0411259062916207	0.9036401413024
ZNF3	10	2.04113363337878	0.0412375461308635	0.9036401413024
ZBTB40	4	2.022676639326	0.043106496910734	0.905749465953817
BHLHE41	9	-2.01434769073703	0.043973042188093	0.905749465953817
JRKL	8	2.01380997614782	0.0440294879283105	0.905749465953817
ZNF446	12	2.00268734788262	0.0452108576580112	0.911450890385505
MYSM1	4	1.97390743181807	0.0483922695669063	0.936825285254357
ZFP28	4	1.96936701554884	0.0489109606201032	0.936825285254357
ZNF431	6	1.96331021293155	0.0496101394699845	0.936825285254357
ZNF226	7	1.95836610676816	0.050187068852912	0.936825285254357
PRDM1	13	1.89324574538081	0.0583251965169796	0.991074299191806
THAP1	4	1.8918682572071	0.0585085360500195	0.991074299191806
ZNF358	7	1.87305326418734	0.0610610301534321	0.991074299191806
E2F8	4	-1.86841217162624	0.061704641807825	0.991074299191806
