TF	size	nes	pval	pval.fdr
1	SMAD3	33	2.97754665935209	0.00290565413387892	0.276037142718497
2	FLI1	13	2.71562697930636	0.00661504036766647	0.314214417464157
3	CREB1	74	2.09642324074761	0.036044662534426	0.919695861726346
4	RELA	142	1.91752962425528	0.0551706811594137	0.919695861726346
5	RXRA	12	-1.90611312239509	0.0566355305389657	0.919695861726346
6	STAT3	75	1.66840284492677	0.0952357839046432	0.919695861726346
7	HIF1A	144	1.66349566513343	0.096213257856818	0.919695861726346
8	TFAP2C	15	1.6164912683898	0.105988139723406	0.919695861726346
9	NFATC2	10	1.60390680821254	0.108734595904689	0.919695861726346
10	SREBF1	23	1.59027035275519	0.111773878350081	0.919695861726346
11	RUNX1	20	1.58185645379723	0.113682343885612	0.919695861726346
12	REL	20	-1.57104537763964	0.116172108849644	0.919695861726346
13	NR5A1	15	1.43469525569503	0.151373956750656	0.97194348088765
14	GATA1	15	-1.4259683792937	0.153877469680079	0.97194348088765
15	FOXA1	30	-1.36157483508415	0.173332101500199	0.97194348088765
16	MITF	34	-1.2223920661182	0.221559398105448	0.97194348088765
17	GATA3	69	1.16297658315662	0.244839003387012	0.97194348088765
18	ATF4	15	1.16199114985765	0.245239059865556	0.97194348088765
19	FOSL2	10	-1.15317099585492	0.248840205799513	0.97194348088765
20	CTCF	110	1.09239009551528	0.274661674567476	0.97194348088765
21	ERG	12	1.08993799727694	0.275740457281577	0.97194348088765
22	FOS	86	-1.08303192484676	0.278794252978153	0.97194348088765
23	STAT5B	16	1.02875612572974	0.303594288458556	0.97194348088765
24	E2F1	308	-1.02094541888985	0.30728029888068	0.97194348088765
25	MYC	368	-1.00255941677252	0.316073485056467	0.97194348088765
26	PPARA	31	0.99712316099142	0.318704732097371	0.97194348088765
27	FOXM1	34	-0.957244187460851	0.338444018723929	0.97194348088765
28	JUN	118	-0.947707897089489	0.343278179543109	0.97194348088765
29	AR	130	0.93390026719736	0.350355341008196	0.97194348088765
30	ETV4	15	0.927505455613054	0.353664160520268	0.97194348088765
31	E2F4	218	-0.926621094542503	0.35412329856453	0.97194348088765
32	SOX10	16	0.923513746692779	0.355739539922141	0.97194348088765
33	SMAD4	26	0.919307262226199	0.357934880362127	0.97194348088765
34	CEBPB	41	-0.888533882940808	0.374253638224925	0.97194348088765
35	NR3C1	10	0.87124027767836	0.383622971998916	0.97194348088765
36	ETS2	30	0.853161786999553	0.393569591193919	0.97194348088765
37	NFIC	27	-0.806717958754624	0.419828995056261	0.97194348088765
38	ESR1	153	0.778793580672368	0.436101319765753	0.97194348088765
39	RARA	36	-0.739519203389775	0.459591783301404	0.97194348088765
40	STAT1	281	0.730383929374988	0.465155538809977	0.97194348088765
41	SRF	10	-0.726622476770359	0.467457255257351	0.97194348088765
42	YY1	65	0.719797009959672	0.471649986170843	0.97194348088765
43	ATF2	24	0.701861490242473	0.48276554689154	0.97194348088765
44	TWIST1	15	0.683868054558941	0.494058487934057	0.97194348088765
45	IRF1	32	0.663245750488353	0.507173174682323	0.97194348088765
46	ESR2	16	0.654297933496621	0.512919876999444	0.97194348088765
47	TAL1	18	-0.64156738288015	0.521154116665594	0.97194348088765
48	ATF6	10	0.626595639693625	0.530924327232965	0.97194348088765
49	FOXO4	14	-0.61510818035041	0.538483280090715	0.97194348088765
50	E2F2	14	-0.597596062776579	0.550109491970246	0.97194348088765
51	TFAP2A	62	-0.582013860457566	0.56055734483117	0.97194348088765
52	KLF4	12	0.573060919820242	0.566603446694046	0.97194348088765
53	STAT5A	21	0.567792170020651	0.57017609716875	0.97194348088765
54	MYCN	13	0.535760473769069	0.592124102849457	0.97194348088765
55	NFKB1	162	-0.518750074340454	0.60393503751253	0.97194348088765
56	SP3	73	0.515079298872625	0.606497607812438	0.97194348088765
57	TCF7L2	19	-0.491780174802007	0.622874753014029	0.97194348088765
58	MYB	25	0.470956463315691	0.637671825403103	0.97194348088765
59	FOXL2	22	0.457106404792611	0.647594566942199	0.97194348088765
60	CEBPA	143	-0.455658938266226	0.648635253671503	0.97194348088765
61	EGR1	124	-0.455067751687506	0.649060497371122	0.97194348088765
62	HNF4A	81	-0.450043863492067	0.652678812944878	0.97194348088765
63	WT1	29	0.443765248943866	0.657212315512554	0.97194348088765
64	POU2F1	32	0.442761837008678	0.657938009728618	0.97194348088765
65	PAX6	13	0.433001113879939	0.665013960607339	0.97194348088765
66	GLI2	16	0.367539912578563	0.713216325899781	0.975608689865504
67	USF2	37	0.34449904523395	0.730471013935723	0.975608689865504
68	ARNTL	10	0.330994757897242	0.740648445186542	0.975608689865504
69	EPAS1	13	-0.328461644088807	0.74256264056437	0.975608689865504
70	SREBF2	16	0.320922725128875	0.748268951928986	0.975608689865504
71	PPARG	40	0.315804230341494	0.752151106973874	0.975608689865504
72	USF1	59	0.312639125588037	0.754554849220089	0.975608689865504
73	RFX5	14	0.281872818756054	0.778041032278786	0.975608689865504
74	E2F3	13	0.276648063956995	0.782050354760746	0.975608689865504
75	SP1	315	0.272258038878179	0.785423618033057	0.975608689865504
76	LEF1	21	0.264167412362302	0.791650920538564	0.975608689865504
77	PGR	11	-0.258247611915122	0.796215814771704	0.975608689865504
78	SPI1	101	0.244321048782379	0.806982182783288	0.975608689865504
79	TP53	237	0.238754894998269	0.81129564736184	0.975608689865504
80	JUND	19	-0.214444400997778	0.830200519912619	0.985863117396235
81	CDX2	17	0.199915985950434	0.841546287834292	0.986998732645157
82	ELK1	31	-0.146221102836053	0.883746846948549	0.991182594669708
83	FOSL1	11	0.14035205912501	0.888381834108488	0.991182594669708
84	VDR	24	0.119369622255295	0.904982527114637	0.991182594669708
85	ETS1	139	0.115534998378189	0.908021081509042	0.991182594669708
86	STAT6	10	0.108889864386964	0.913289845888263	0.991182594669708
87	FOXO1	42	-0.0951470065079387	0.924198061612183	0.991182594669708
88	FOXO3	38	-0.0810836071640223	0.935375462345867	0.991182594669708
89	NR2F2	18	0.0717434286667649	0.942806094109613	0.991182594669708
90	PAX8	11	-0.0647427640247182	0.948378813457823	0.991182594669708
91	GATA2	39	-0.0518920500940967	0.958614708848763	0.991182594669708
92	HNF1A	26	-0.0399704603459879	0.968116676694269	0.991182594669708
93	ATF1	20	0.0205802810299066	0.983580470593818	0.991182594669708
94	SOX9	13	0.0176391764889322	0.985926703213532	0.991182594669708
95	SOX2	10	-0.0110512036963744	0.991182594669708	0.991182594669708
