TF	size	nes	pval	pval.fdr
1	ITGA2B	74	-3.34420896711817	0.000825175571241842	0.999090691117524
2	MCC	78	3.31827500498769	0.000905752604782194	0.999090691117524
3	MUSK	50	3.25043368978113	0.0011522913697593	0.999090691117524
4	PRKCB	56	3.05445774113314	0.00225467776589814	0.999090691117524
5	DFFB	70	3.0358629993217	0.00239848318239506	0.999090691117524
6	CSDC2	128	-3.01021620437269	0.00261061786279184	0.999090691117524
7	ID1	105	-2.92651268759692	0.00342785523680633	0.999090691117524
8	ENPP2	46	-2.92175801970242	0.00348061844353232	0.999090691117524
9	LRRN3	52	2.91731007677739	0.00353064591701864	0.999090691117524
10	IFT57	86	2.9156502808391	0.00354948118628871	0.999090691117524
11	TRAFD1	100	2.88420947660888	0.00392397638337914	0.999090691117524
12	AFF3	89	2.87354776887006	0.00405889692011031	0.999090691117524
13	ZNF576	75	2.8720179299478	0.00407859825578096	0.999090691117524
14	TBCK	50	2.8539018124615	0.00431858765016369	0.999090691117524
15	KHDRBS3	299	-2.83911196409057	0.00452392802164148	0.999090691117524
16	USP6NL	67	2.81609575848574	0.00486111752092438	0.999090691117524
17	TIAM2	67	2.72794493915405	0.00637302447828758	0.999090691117524
18	OR4C3	61	2.72521308733881	0.00642599995321415	0.999090691117524
19	NDST1	48	-2.71826039915689	0.00656261673000349	0.999090691117524
20	TRIM23	81	2.71467790847494	0.00663402568528459	0.999090691117524
21	RALGAPA2	64	2.71040802978803	0.00672004823714002	0.999090691117524
22	SFMBT1	243	2.71017467043147	0.00672477834794761	0.999090691117524
23	ARHGAP26	35	2.65338562913499	0.00796887712218252	0.999090691117524
24	OR1J2	42	2.65101432464798	0.00802504377427171	0.999090691117524
25	MAP2K4	34	-2.58731696359845	0.00967265699342025	0.999090691117524
26	IGF1	174	-2.58102836246046	0.00985064884248388	0.999090691117524
27	F2RL2	81	2.56723730153045	0.0102512431512846	0.999090691117524
28	GPR176	75	-2.55893614866307	0.010499302379689	0.999090691117524
29	COLEC12	68	-2.55506162962797	0.010616899819635	0.999090691117524
30	FOXH1	64	2.53501362552543	0.0112442952349066	0.999090691117524
31	GULP1	62	-2.52433639032403	0.0115916948250938	0.999090691117524
32	OR2T10	59	2.52323076813374	0.0116282064487808	0.999090691117524
33	HOXC9	91	2.52049309550022	0.0117190537377965	0.999090691117524
34	ATRNL1	65	2.51450623503673	0.0119199194850452	0.999090691117524
35	JAG1	79	-2.50962986618768	0.0120857766717538	0.999090691117524
36	BMX	48	-2.49211789387146	0.012698388046064	0.999090691117524
37	OR1K1	59	2.47948414350732	0.0131572580026842	0.999090691117524
38	DLX1	92	2.47582150912555	0.013293001587415	0.999090691117524
39	CD2	17	2.46025010377911	0.0138840223993175	0.999090691117524
40	IL2	110	2.45299620277523	0.0141671834162783	0.999090691117524
41	TAS2R16	59	2.44952637713912	0.0143044232253616	0.999090691117524
