"source"	"target"	"Annotation"	"Direction"	"Score"
"ABCE1"	"RPS17"	"predicted"	"-"	0.99
"ABCE1"	"SLC25A4"	"predicted"	"-"	0.64
"ABCE1"	"VIM"	"predicted"	"-"	0.64
"ACAD8"	"ACADSB"	"predicted"	"-"	0.98
"ACAD9"	"NDUFAF7"	"complex; input"	"-"	1
"ACAD9"	"NDUFB11"	"complex; input"	"-"	1
"ACAD9"	"NDUFS5"	"complex; input"	"-"	1
"ACAP1"	"ARHGAP4"	"predicted"	"-"	0.98
"ACAT2"	"HADHA"	"predicted"	"-"	0.97
"ACAT2"	"PFDN4"	"predicted"	"-"	0.73
"ACSL4"	"CPT1A"	"PPrel: compound"	"-"	1
"ACTR1A"	"ACTR1B"	"input"	"-"	1
"ACTR1A"	"AKAP9"	"complex"	"-"	1
"ACTR1A"	"CD59"	"complex; input"	"-"	1
"ACTR1A"	"CEP250"	"complex"	"-"	1
"ACTR1A"	"DCTN2"	"complex; input; predicted"	"-"	1
"ACTR1A"	"DCTN5"	"complex; input"	"-"	1
"ACTR1A"	"GOLGB1"	"input"	"-"	1
"ACTR1A"	"HLA-DRA"	"input"	"-"	1
"ACTR1A"	"HLA-DRB1"	"input"	"-"	1
"ACTR1A"	"HLA-DRB5"	"input"	"-"	1
"ACTR1A"	"TMED3"	"complex; input"	"-"	1
"ACTR1A"	"YWHAE"	"complex"	"-"	1
"ACTR1B"	"DCTN2"	"input"	"-"	1
"ACTR1B"	"DCTN5"	"input"	"-"	1
"ACTR1B"	"HLA-DRA"	"input"	"-"	1
"ACTR1B"	"HLA-DRB1"	"input"	"-"	1
"ACTR1B"	"HLA-DRB5"	"input"	"-"	1
"ADA"	"SP1"	"expression regulated by"	"<-"	1
"ADH5"	"ALDH3B1"	"ECrel: compound"	"-"	1
"ADH5"	"ALDH4A1"	"predicted"	"-"	0.64
"ADH5"	"ESD"	"predicted"	"-"	0.64
"ADH5"	"PHGDH"	"predicted"	"-"	0.64
"AIMP1"	"HNRNPK"	"predicted"	"-"	0.97
"AIMP1"	"HSP90B1"	"predicted"	"-"	0.99
"AKAP9"	"CEP250"	"complex"	"-"	1
"AKAP9"	"DCTN2"	"complex"	"-"	1
"AKAP9"	"PEBP1"	"inhibited by"	"|-"	1
"AKAP9"	"YWHAE"	"complex"	"-"	1
"ALDOC"	"GAPDH"	"predicted"	"-"	0.56
"ALDOC"	"GLO1"	"predicted"	"-"	0.78
"ALDOC"	"PPIB"	"predicted"	"-"	0.58
"ALOX5"	"ALOX5AP"	"complex"	"-"	1
"ALOX5"	"SP1"	"expression regulated by"	"<-"	1
"ANAPC1"	"EHMT2"	"activate; complex; inhibited by; input"	"|->"	1
"ANAPC1"	"PPP3CA"	"PPrel: activated by, dephosphorylation"	"<-"	1
"ANAPC1"	"PSMB2"	"catalyzed by"	"<-"	1
"ANAPC1"	"PSMD11"	"catalyzed by"	"<-"	1
"AP1M1"	"AP1S1"	"complex; predicted"	"-"	1
"AP1M1"	"B2M"	"complex; input"	"-"	1
"AP1M1"	"HLA-DRA"	"complex; input"	"-"	1
"AP1M1"	"HLA-DRB1"	"complex; input"	"-"	1
"AP1M1"	"HLA-DRB5"	"complex; input"	"-"	1
"AP1M1"	"HLA-E"	"PPrel: binding/association"	"-"	1
"AP1S1"	"B2M"	"complex; input"	"-"	1
"AP1S1"	"HLA-DRA"	"complex; input"	"-"	1
"AP1S1"	"HLA-DRB1"	"complex; input"	"-"	1
"AP1S1"	"HLA-DRB5"	"complex; input"	"-"	1
"AP1S1"	"HLA-E"	"PPrel: binding/association"	"-"	1
"AP1S1"	"RAB10"	"predicted"	"-"	0.64
"AP1S1"	"SORL1"	"predicted"	"-"	0.54
"AP5B1"	"AP5Z1"	"predicted"	"-"	0.64
"APOA1"	"P4HB"	"activated by"	"<-"	1
"ARHGAP4"	"RHOA"	"activate; catalyze"	"->"	1
"ARHGEF2"	"RHOA"	"PPrel: activation; activate; catalyze"	"->"	1
"ARHGEF2"	"TUBB3"	"PPrel: dissociation"	"-"	1
"ARHGEF2"	"TUBB6"	"PPrel: dissociation"	"-"	1
"ARL8A"	"GNAI2"	"predicted"	"-"	0.64
"ARRDC1"	"TSG101"	"predicted"	"-"	0.64
"ATM"	"CTBP1"	"input"	"-"	1
"ATM"	"DDB1"	"PPrel: activated, indirect effect"	"<-"	1
"ATM"	"RFC2"	"complex; input"	"-"	1
"ATM"	"SQSTM1"	"PPrel: inhibition"	"-|"	1
"ATM"	"STAT1"	"predicted"	"-"	0.64
"ATP6V0A1"	"ATP6V0D1"	"complex; predicted"	"-"	1
"ATP6V0A1"	"ATP6V1H"	"complex"	"-"	1
"ATP6V0A1"	"STX12"	"predicted"	"-"	0.66
"ATP6V0A1"	"STX3"	"predicted"	"-"	0.66
"ATP6V0D1"	"ATP6V1H"	"complex"	"-"	1
"ATP6V0D1"	"MTOR"	"complex; input"	"-"	1
"ATP6V1H"	"MTOR"	"complex; input"	"-"	1
"B2M"	"CALR"	"complex; input"	"-"	1
"B2M"	"CANX"	"input"	"-"	1
"B2M"	"CTSS"	"predicted"	"-"	0.59
"B2M"	"HLA-DRA"	"predicted"	"-"	0.97
"B2M"	"HLA-E"	"PPrel: binding/association; complex; input"	"-"	1
"B2M"	"SEC24D"	"catalyzed by; complex; input"	"<-"	1
"B2M"	"VAMP8"	"input"	"-"	1
"BCAP31"	"LMAN1"	"predicted"	"-"	0.64
"BCAP31"	"RER1"	"predicted"	"-"	0.78
"BCAP31"	"SEC61A1"	"predicted"	"-"	0.73
"BPGM"	"ENO1"	"predicted"	"-"	0.7
"BTF3"	"RPL10"	"predicted"	"-"	0.58
"BTF3"	"RPS17"	"predicted"	"-"	0.59
"CALR"	"CANX"	"complex; reaction"	"-"	1
"CALR"	"CCT8"	"predicted"	"-"	0.56
"CALR"	"EPB41"	"predicted"	"-"	0.64
"CALR"	"GANAB"	"catalyzed by"	"<-"	1
"CALR"	"HLA-E"	"PPrel: binding/association; complex; input"	"-"	1
"CALR"	"HSP90B1"	"predicted"	"-"	1
"CALR"	"P4HB"	"predicted"	"-"	0.98
"CALR"	"RPN2"	"predicted"	"-"	0.56
"CALR"	"SP1"	"expression regulated by"	"<-"	1
"CALR"	"YWHAE"	"predicted"	"-"	0.98
"CAND1"	"CANX"	"predicted"	"-"	0.58
"CAND1"	"CLN3"	"predicted"	"-"	0.64
"CAND1"	"DDB1"	"complex; input"	"-"	1
"CAND1"	"DDB2"	"complex; input"	"-"	1
"CAND1"	"FBXO7"	"complex; input"	"-"	1
"CAND1"	"PURA"	"predicted"	"-"	0.64
"CAND1"	"PWP1"	"predicted"	"-"	0.58
"CAND1"	"STAT1"	"predicted"	"-"	0.77
"CANX"	"GANAB"	"catalyzed by"	"<-"	1
"CANX"	"HLA-DRA"	"complex; input"	"-"	1
"CANX"	"HLA-DRB1"	"complex; input"	"-"	1
"CANX"	"HLA-DRB5"	"complex; input"	"-"	1
"CANX"	"HLA-E"	"complex; input"	"-"	1
"CANX"	"HSP90B1"	"predicted"	"-"	1
"CANX"	"LMAN1"	"predicted"	"-"	0.64
"CANX"	"RPN2"	"predicted"	"-"	0.98
"CANX"	"SEC61A1"	"predicted"	"-"	0.78
"CANX"	"SSR1"	"predicted"	"-"	0.58
"CCT8"	"HSP90B1"	"predicted"	"-"	0.66
"CCT8"	"PFDN4"	"input"	"-"	1
"CCT8"	"TCEA1"	"predicted"	"-"	0.59
"CCT8"	"TUBB3"	"complex; input"	"-"	1
"CCT8"	"TUBB6"	"complex; input"	"-"	1
"CD59"	"DCTN2"	"complex; input"	"-"	1
"CD59"	"DCTN5"	"complex; input"	"-"	1
"CD59"	"GOLGB1"	"complex; input"	"-"	1
"CD59"	"SEC24D"	"complex; input"	"-"	1
"CD59"	"TFG"	"complex; input"	"-"	1
"CD59"	"TMED3"	"complex; input"	"-"	1
"CD99"	"SP1"	"expression regulated by"	"<-"	1
"CEP250"	"DCTN2"	"complex"	"-"	1
"CEP250"	"YWHAE"	"complex"	"-"	1
"CGGBP1"	"REL"	"predicted"	"-"	0.64
"CHD1L"	"DDB1"	"complex; input"	"-"	1
"CHD1L"	"DDB2"	"complex; input"	"-"	1
"CHD1L"	"POLD1"	"complex; input"	"-"	1
"CHD1L"	"RFC1"	"complex; input"	"-"	1
"CHD1L"	"RFC2"	"complex; input"	"-"	1
"CIT"	"PPP1CB"	"inhibited by"	"|-"	1
"CIT"	"RHOA"	"activated by; complex; inhibit; input; predicted"	"<-|"	1
"CLC"	"SP1"	"expression regulated by"	"<-"	1
"CLN3"	"PHGDH"	"predicted"	"-"	0.64
"CLN3"	"SBDS"	"predicted"	"-"	0.73
"CNOT2"	"CNOT3"	"complex; predicted"	"-"	1
"CNOT3"	"SP1"	"expression regulated by"	"<-"	1
"COL1A1"	"ITGAL"	"complex; input"	"-"	1
"COL1A1"	"LIMS1"	"input"	"-"	1
"COL1A1"	"P4HA1"	"catalyzed by"	"<-"	1
"COL1A1"	"P4HB"	"catalyzed by; complex; input"	"<-"	1
"COL1A1"	"PPIB"	"catalyzed by"	"<-"	1
"COL1A1"	"PTK2B"	"catalyzed by; complex; input"	"<-"	1
"COL1A1"	"SP1"	"expression regulated by"	"<-"	1
"COL1A1"	"STAT1"	"GErel: expression by"	"<-"	1
"COPS7B"	"DDB1"	"catalyze; complex"	"->"	1
"COPS7B"	"DDB2"	"catalyze; complex"	"->"	1
"COPS7B"	"FBXO7"	"catalyze"	"->"	1
"COPS7B"	"GPS1"	"complex"	"-"	1
"CORO1B"	"CORO1C"	"predicted"	"-"	0.98
"COX7B"	"SCO1"	"activated by"	"<-"	1
"CPSF7"	"ELAVL1"	"complex; input"	"-"	1
"CPSF7"	"FIP1L1"	"catalyze; complex; input"	"->"	1
"CPSF7"	"HNRNPD"	"complex; input"	"-"	1
"CPSF7"	"HNRNPK"	"complex; input"	"-"	1
"CPSF7"	"HNRNPR"	"complex; input"	"-"	1
"CPSF7"	"LSM2"	"complex; input"	"-"	1
"CPSF7"	"PABPN1"	"catalyze; complex; input"	"->"	1
"CPSF7"	"PCBP2"	"complex; input"	"-"	1
"CPSF7"	"PQBP1"	"complex; input"	"-"	1
"CPSF7"	"SARNP"	"catalyze; complex; input"	"->"	1
"CPSF7"	"SNRPB2"	"complex; input"	"-"	1
"CPSF7"	"SNRPC"	"input"	"-"	1
"CPSF7"	"SNW1"	"complex; input"	"-"	1
"CPSF7"	"THOC6"	"catalyze; complex; input"	"->"	1
"CPSF7"	"WBP11"	"complex; input"	"-"	1
"CSNK1G1"	"YWHAE"	"activate"	"->"	1
"CSNK1G1"	"YWHAQ"	"activate"	"->"	1
"CSNK2A2"	"DDX41"	"predicted"	"-"	0.64
"CSNK2A2"	"HSP90B1"	"predicted"	"-"	0.73
"CTBP1"	"CTBP2"	"predicted"	"-"	0.98
"CTBP1"	"HDGF"	"predicted"	"-"	0.64
"CTBP1"	"IKZF1"	"predicted"	"-"	0.64
"CTBP1"	"RUNX1"	"PPrel: activated by"	"<-"	1
"CTBP2"	"IKZF1"	"predicted"	"-"	0.64
"CTBP2"	"IKZF2"	"predicted"	"-"	0.64
"CTBP2"	"RUNX1"	"PPrel: activated by"	"<-"	1
"CTSS"	"HLA-DRA"	"catalyze"	"->"	1
"CTSS"	"HLA-DRB1"	"catalyze"	"->"	1
"CTSS"	"HLA-DRB5"	"catalyze"	"->"	1
"CYBB"	"NCF4"	"PPrel: dissociation; complex; reaction"	"-"	1
"CYBB"	"STAT1"	"predicted"	"-"	0.64
"DCTN2"	"DCTN5"	"complex; input; predicted"	"-"	1
"DCTN2"	"GOLGB1"	"input"	"-"	1
"DCTN2"	"HLA-DRA"	"input"	"-"	1
