"source"	"target"	"Annotation"	"Direction"	"Score"
"AAAS"	"NCBP2"	"activate; catalyze; complex; input"	"->"	1
"AAAS"	"NUP205"	"catalyze; catalyzed by; complex; input"	"<->"	1
"AAAS"	"SLU7"	"activate; input"	"->"	1
"AAK1"	"ARPC1A"	"complex; input"	"-"	1
"AAK1"	"EPN1"	"complex; inhibited by; input"	"|-"	1
"AAK1"	"TF"	"complex; input"	"-"	1
"AARSD1"	"ARPC1A"	"predicted"	"-"	0.73
"AATK"	"SRC"	"predicted"	"-"	0.97
"ABCA1"	"PRKACB"	"catalyzed by"	"<-"	1
"ABCA1"	"SP3"	"expression regulated by"	"<-"	1
"ABCA2"	"SP3"	"expression regulated by"	"<-"	1
"ABCC1"	"NTRK1"	"predicted"	"-"	0.64
"ABCC3"	"ALB"	"catalyze"	"->"	1
"ABCC8"	"PRKACB"	"PPrel: inhibited by; activated by"	"-"	1
"ABCD1"	"PEX3"	"complex; input"	"-"	1
"ABCD2"	"PEX3"	"complex; input"	"-"	1
"ABCD3"	"PEX3"	"complex; input"	"-"	1
"ABI1"	"ARPC1A"	"PPrel: activation; complex; input"	"->"	1
"ABI1"	"SRC"	"predicted"	"-"	0.64
"ABL1"	"CDKN1B"	"predicted"	"-"	0.64
"ABL1"	"JAK1"	"predicted"	"-"	0.98
"ABL1"	"JAK2"	"predicted"	"-"	0.98
"ABL1"	"MAP4K1"	"predicted"	"-"	0.64
"ABL1"	"PPP2CA"	"predicted"	"-"	0.54
"ABL1"	"SRC"	"activated by"	"<-"	1
"ABL2"	"PPP2CA"	"predicted"	"-"	0.54
"ABL2"	"SRC"	"predicted"	"-"	0.64
"ABLIM1"	"SRC"	"complex; input"	"-"	1
"ABLIM2"	"SRC"	"complex; input"	"-"	1
"ABLIM3"	"SRC"	"complex; input"	"-"	1
"ACACA"	"SP3"	"expression regulated by"	"<-"	1
"ACACB"	"PTEN"	"predicted"	"-"	0.78
"ACAD8"	"ACADSB"	"predicted"	"-"	0.98
"ACAD8"	"CYP2C18"	"predicted"	"-"	0.64
"ACAD8"	"LDHD"	"predicted"	"-"	0.64
"ACAD9"	"NDUFAF7"	"complex; input"	"-"	1
"ACAP2"	"SP3"	"predicted"	"-"	0.59
"ACBD5"	"PEX3"	"complex; input"	"-"	1
"ACD"	"SYNE1"	"complex; input"	"-"	1
"ACTA1"	"MYH11"	"complex; input"	"-"	1
"ACTA2"	"MYH11"	"PPrel: binding/association; PPrel: dissociation; catalyzed by; complex; input"	"<-"	1
"ACTA2"	"PXN"	"complex"	"-"	1
"ACTB"	"ARPC1A"	"PPrel: activated by; PPrel: binding/association; complex; input"	"<-"	1
"ACTB"	"EP400"	"complex"	"-"	1
"ACTB"	"FN1"	"complex; input"	"-"	1
"ACTB"	"MCRS1"	"complex"	"-"	1
"ACTB"	"MEAF6"	"complex"	"-"	1
"ACTB"	"MYH11"	"PPrel: binding/association; complex; input"	"-"	1
"ACTB"	"PXN"	"PPrel: activated by; PPrel: indirect effect; complex; input"	"<-"	1
"ACTB"	"VPS72"	"complex"	"-"	1
"ACTB"	"XPC"	"activate"	"->"	1
"ACTBL2"	"FN1"	"complex; input"	"-"	1
"ACTBL2"	"MYH11"	"complex; input"	"-"	1
"ACTBL2"	"PXN"	"complex; input"	"-"	1
"ACTC1"	"MYH11"	"complex; input"	"-"	1
"ACTG1"	"ARPC1A"	"PPrel: activated by; PPrel: binding/association; complex; input"	"<-"	1
"ACTG1"	"FN1"	"complex; input"	"-"	1
"ACTG1"	"MYH11"	"PPrel: binding/association; complex; input"	"-"	1
"ACTG1"	"PXN"	"PPrel: activated by; PPrel: indirect effect; complex; input"	"<-"	1
"ACTG2"	"MYH11"	"PPrel: binding/association; PPrel: dissociation; catalyzed by; complex; input"	"<-"	1
"ACTG2"	"PXN"	"complex"	"-"	1
