name	Mutations_of_interest_vs_CD34_diff	Mutations_of_interest_vs_CD34_p.val	ProteinDescriptions
A2M	-2.13310307692308	0.0156484144094614	Alpha-2-macroglobulin
AAMDC	-1.55168041025642	2.62459170245151e-08	Mth938 domain-containing protein
AAMP	-1.9364614414858	6.93055736321159e-11	Angio-associated migratory cell protein
AARS	-1.09561635897436	3.1004114024898e-06	Alanine--tRNA ligase, cytoplasmic
AARSD1	-3.11048742525133	1.54974477099324e-09	Alanyl-tRNA editing protein Aarsd1
AASDHPPT	-0.778206820512825	0.00809553411660591	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
ABCB7	-0.429394256410262	0.0697370936252569	ATP-binding cassette sub-family B member 7, mitochondrial
ABCC1	1.07337004789743	0.000555047334605891	Multidrug resistance-associated protein 1
ABCD3	-0.553680974358974	0.0438718414813752	ATP-binding cassette sub-family D member 3
ABCE1	-0.924248410256414	3.97364016692863e-06	ATP-binding cassette sub-family E member 1
ABCF2	-1.32695564102565	4.52111235701521e-06	ATP-binding cassette sub-family F member 2
ABCF3	-1.46887538461539	4.31036176811305e-09	ATP-binding cassette sub-family F member 3
ABHD11	-1.70942399999999	1.01800905690976e-06	Alpha/beta hydrolase domain-containing protein 11
ABHD14B	-0.884203589743599	0.00540369443870274	Alpha/beta hydrolase domain-containing protein 14B
ABHD17B	1.51404756461872	0.00148472632699605	Alpha/beta hydrolase domain-containing protein 17B
ACACA	-1.65504999504862	3.68319475873034e-07	Acetyl-CoA carboxylase 1
ACAD8	0.863032731400558	0.00286043939435617	Isobutyryl-CoA dehydrogenase, mitochondrial
ACAD9	-0.770814769230778	0.000901947084286322	Acyl-CoA dehydrogenase family member 9, mitochondrial
ACADM	0.544610974358967	0.0134846824594831	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial
ACAT1	0.804704512820507	0.00673043717248894	Acetyl-CoA acetyltransferase, mitochondrial
ACAT2	-1.27228861538462	2.12511349761671e-08	Acetyl-CoA acetyltransferase, cytosolic
ACBD3	-0.331435794871801	0.0673129999568085	Golgi resident protein GCP60
ACLY	0.431052102564099	0.0342719933782432	ATP-citrate synthase
ACOT7	-1.63432041025641	0.000242518080474862	Cytosolic acyl coenzyme A thioester hydrolase
ACP1	-0.425523128205132	0.0578807527053261	Low molecular weight phosphotyrosine protein phosphatase
ACSL1	-0.889000871794867	0.0433305921755049	Long-chain-fatty-acid--CoA ligase 1
ACSL4	-1.4117042051282	1.3475786800678e-10	Long-chain-fatty-acid--CoA ligase 4
ACSL5	0.81032256410256	0.00282900804679051	Long-chain-fatty-acid--CoA ligase 5
ACTA2	-10.0410695734621	8.38499810331442e-15	Actin, aortic smooth muscle
ACTBL2	-5.45740292307694	5.21549076364784e-05	Beta-actin-like protein 2
ACTN1	1.51540933333332	2.10282519860359e-05	Alpha-actinin-1
ACTN4	-1.55784405128204	5.88248783874857e-13	Alpha-actinin-4
ACTR1A	-1.24998015384617	4.15142921459849e-07	Alpha-centractin
ACTR1B	-0.814316666666677	7.64403562593643e-05	Beta-centractin
ACTR3	-0.53344061538462	0.0369185356208413	Actin-related protein 3
ACY1	-1.5821678974359	0.000135641635945687	Aminoacylase-1
ACYP1	0.748505617475134	0.0116372936051736	Acylphosphatase-1
ACYP2	-0.932973997737649	0.00244253498808852	Acylphosphatase-2
ADI1	-2.63380960248468	2.7828123207502e-10	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase
ADK	-0.546299487179493	0.0345613816776211	Adenosine kinase
ADNP	0.430580461538455	0.0958722109168861	Activity-dependent neuroprotector homeobox protein
ADPGK	1.23147902564102	0.000627730275475849	ADP-dependent glucokinase
ADRBK1	-0.956430153846156	0.000120764764873522	Beta-adrenergic receptor kinase 1
ADSL	-1.37475943589744	1.04989936886955e-08	Adenylosuccinate lyase
AFP	-2.48388630769231	0.00110982495436746	Alpha-fetoprotein
AGA	0.878344701254463	0.0367574791890583	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase
AGK	0.503484820512821	0.0296290361346047	Acylglycerol kinase, mitochondrial
AGO2	-1.03227379402311	0.000886266790675799	Protein argonaute-2
AGPAT5	0.846170808632401	0.016743133053879	1-acyl-sn-glycerol-3-phosphate acyltransferase epsilon
AGTRAP	-1.66043282493528	1.53497968060139e-05	Type-1 angiotensin II receptor-associated protein
AHCY	-1.25507897435897	1.12906933101701e-08	Adenosylhomocysteinase
AHCYL1	-2.06475897435898	0.000277414563473296	Adenosylhomocysteinase 2
AHCYL2	-4.00965243585676	1.74892601226736e-29	Adenosylhomocysteinase 3
AHSA1	-1.10099907692309	5.45938606273948e-07	Activator of 90 kDa heat shock protein ATPase homolog 1
AHSG	-8.13415792831418	1.09102401073044e-37	Alpha-2-HS-glycoprotein
AIDA	-0.586729614348087	0.0774229443265112	Axin interactor, dorsalization-associated protein
AIF1	-1.51390466666667	0.00126444722672533	Allograft inflammatory factor 1
AIM1	-1.34564204632447	0.000431028272376425	Absent in melanoma 1 protein
AIMP1	-1.34848384615387	2.34459185873697e-08	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
AIMP2	-1.09072810256412	1.38703651440981e-05	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2
AK1	-2.12050876923077	0.000195411170014168	Adenylate kinase isoenzyme 1
AK2	1.03263635897435	0.0014143103421064	Adenylate kinase 2, mitochondrial
AK3	0.69786456410257	0.00909163602286829	GTP:AMP phosphotransferase AK3, mitochondrial
AKAP17A	-1.04727538461538	7.77614706881536e-05	A-kinase anchor protein 17A
AKAP8	-1.00958610256411	9.26563264526534e-06	A-kinase anchor protein 8
AKAP9	5.74004735073172	1.35576083120848e-43	A-kinase anchor protein 9
AKR1B1	-1.94216712820513	1.16882570786585e-08	Aldose reductase
AKT1	-0.699643743589739	0.00256140503344082	RAC-alpha serine/threonine-protein kinase
ALB	-2.34743092307693	0.00153040791591343	Serum albumin
ALCAM	-1.13458702564103	0.00127601617358008	CD166 antigen
ALDH16A1	-0.850299435897433	0.00256130917359739	Aldehyde dehydrogenase family 16 member A1
ALDH1A1	-4.21901786232208	5.19642326387938e-09	Retinal dehydrogenase 1
ALDH2	-1.08076507692308	0.0495256761858724	Aldehyde dehydrogenase, mitochondrial
ALDH4A1	-0.569485794871799	0.0704396039418948	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial
ALDH5A1	-1.16226102564104	0.00705098905767056	Succinate-semialdehyde dehydrogenase, mitochondrial
ALDOA	0.474861589743586	0.0635036336020484	Fructose-bisphosphate aldolase A
ALDOC	-2.20926358974359	8.63329604828564e-13	Fructose-bisphosphate aldolase C
ALG1	-1.23433611210654	0.000500807514353067	Chitobiosyldiphosphodolichol beta-mannosyltransferase
ALG2	-0.630980615384624	0.0649478377242443	Alpha-1,3/1,6-mannosyltransferase ALG2
ALG3	0.551302205128206	0.0177178156292174	Dol-P-Man:Man(5)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase
ALG8	0.605943601663812	0.0311759284939981	Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase
ALG9	-0.537566615384618	0.0476663184616513	Uncharacterized protein;Alpha-1,2-mannosyltransferase ALG9
ANAPC1	-5.89888512820513	6.0809790787344e-66	Anaphase-promoting complex subunit 1
ANAPC5	-3.35360989743591	1.40218983713977e-24	Anaphase-promoting complex subunit 5
ANAPC7	-1.30890123076924	3.51670818215325e-07	Anaphase-promoting complex subunit 7
ANK1	-1.58465025641026	0.0483004478288153	Ankyrin-1
ANKLE2	-1.25238548631928	0.000259853053759469	Ankyrin repeat and LEM domain-containing protein 2
ANKRD27	-1.26950309617525	2.74688312298834e-05	Ankyrin repeat domain-containing protein 27
